sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Agave sisalana	nat	1	0	7665.237837	7.4388	3.040096156	264.1212247	44.549292	12.62851521	23.79757504	25.91286478	21.19393444	1060.952381	194.9047619	19.80952381	80.79316239	514.3333333	70.23809524	322.8571429	93	13.24154849	67.59443665	193.7296771	33.56796692	13.9136398	19.65432707	25.14992728	22.67620909	157	64067.69459	8.867875327	4.980877809	0.108280694	0.526234718	-0.012864749	1.077494213	-289.6428499	-47.69047674	-7.214285737	-10.50268546	-137.5000029	-21.04761937	-172.8095251	58.28571592	-3.50821528	1.24127715	-42.55348496	-1.894157183	3.60302689	-5.497184299	-0.130879811	1.604743231
Albizia lebbeck	inv	1	1	275	119.805	6.562	227.6992072	51.06034	12.12499089	25.27459815	29.28046696	20.6517187	1150.881295	298.9064748	8.169064748	102.5085282	726.1726619	35.55035971	316.0827338	96.78057554	11.38477705	51.59538309	348.2177333	35.93687607	13.2872284	22.64964772	27.01712448	22.41670528	225	224876.4785	6.173370428	7.616003819	0.549868067	0.788735168	-1.730467149	3.624948324	-242.0812889	-87.573142	0.19760195	-12.08186267	-196.6059916	-0.783692823	-175.0494006	21.55275614	-1.448110325	19.39128378	-213.6377318	-2.506876338	6.009438316	-8.516314224	-0.553791157	3.343294568
Alpinia zerumbet	exo	0	0	14860.63009	17.4992	1.5707965	262.2933293	95.377312	15.61131486	21.26814832	26.2696781	15.52251463	2165.575	393.5333333	51.89166667	69.24335688	1042.833333	180.6666667	917.0416667	227.75	6.455870664	35.03206666	442.3184558	30.10808891	11.38126852	18.72682033	25.07103107	16.89947309	229	336805.8552	12.29973913	26.50376953	0.261269115	4.965184951	1.291433032	9.152485398	-1246.797211	-190.5888893	-44.08611104	19.59275451	-525.3055534	-150.3611108	-789.4861128	-34.02778061	3.649684989	37.80404504	-323.5295678	3.425244077	8.196509023	-4.771264815	1.217858338	9.194971029
Amaranthus blitum	nat	1	0	878.3508053	0.16	0.429	244.5149672	65.087106	30.20238989	11.37748821	19.01206797	4.019587659	869.8596382	110.790393	43.72738615	27.54362619	299.5327511	147.5159077	244.3462258	192.0798503	8.740931784	35.43464802	613.6978655	25.18086158	0.044409182	25.13645238	12.99526283	9.641468763	224	322828.8942	5.470019208	52.03822882	0.137108845	13.90167849	7.92959863	19.13041244	-221.0263023	40.83460603	-36.93571943	61.52720654	67.96724891	-120.7659079	-136.4295598	-87.45485028	1.634068216	33.76951839	-457.0603657	8.098304878	18.23059091	-10.13228566	12.59223703	15.0751977
Amaranthus spinosus	nat	1	0	3332.678074	0.194	1.5	246.0866919	65.087105	8.861958563	24.121413	25.08924098	23.09465814	1998.747748	308.4864865	51.53153153	59.65507743	811.5405405	192.7027027	526.3333333	463.3063063	9.683499156	79.19863929	82.56338551	30.38531803	17.96445908	12.42085895	24.42385172	23.65827024	237	427457.7736	7.949328475	40.03585314	0.418337883	1.907817647	2.426143719	1.174059877	-1178.804157	-116.8659743	-44.18794174	32.34389648	-335.3713098	-163.0616771	-406.9692303	-325.6652808	0.538039359	-8.246844391	51.18430672	3.206989599	1.164258841	2.04273085	1.77717382	2.164806739
Ananas comosus	exo	0	0	21606.23593	2.009133333	0.914	260.0572114	22.46263	12.23994529	23.42708949	25.08973405	21.47133015	1755.544538	267.2890756	47.14117647	56.68963465	737.7260504	168.1495798	443.9344538	375.8033613	10.63921338	69.8050424	150.7499633	30.95752676	15.27037182	15.68715494	24.19035725	22.07440768	422	39649.83706	5.924842905	2.880438155	0.496828064	0.021058386	-0.282326671	0.32866994	-726.6556489	-55.17796452	-34.32636159	26.31777264	-188.1334601	-121.4088392	-194.527045	-230.3959517	0.297823667	0.05421731	-25.94255423	0.472103093	0.451850404	0.020252479	-0.338505045	0.188555505
Andropogon gayanus	inv	1	1	675	2.5584	3.5	254.4051947	5.90498	9.703608107	23.4068766	26.53987013	19.37178348	612.1038961	141.4285714	6.090909091	102.8218365	368.3506494	21.2987013	236.5194805	22.46753247	13.67091325	60.06802799	296.5311465	33.60732455	10.74561042	22.86171418	25.71370561	19.92588742	105	452562.1903	5.830941662	14.33954689	0.541260042	2.965345663	1.426796414	5.33932743	299.5905416	76.29364995	-1.174242385	-3.344059065	180.3160199	2.673521268	-76.60281481	104.9769139	-2.507024478	9.809749108	-163.4505909	1.081564635	7.898833963	-6.817269775	0.691849799	5.424112487
Annona muricata	exo	0	0	9050	391.336	6.09	270.8685477	28.441229	12.86939135	24.29655197	26.08790449	22.14684892	1511.369427	285.1019108	30.22929936	83.2154916	757.1273885	106.3630573	522.3757962	166.6050955	11.25157315	70.26857364	163.4354121	32.27086755	15.92398618	16.34688139	25.44405146	23.38497231	178	49387.9296	8.812196083	6.726264957	0.556211377	0.829205599	0.525731877	1.171332816	-588.2633809	-93.04130465	-17.7444509	-2.860946185	-265.7031463	-59.0903299	-378.1485247	52.30399433	-1.469755041	-0.235239601	-26.15359474	0.159435592	2.410862267	-2.251426873	-0.421324098	1.680179083
Annona reticulata	exo	0	0	6008.695933	239.2	6.09	270.9808501	35.521535	11.12839063	25.40497754	26.28968913	24.35831121	2082.666667	313.5333333	46.93333333	52.540065	814.8666667	187.2	432.0666667	567.6	9.99608895	78.67593002	79.93558566	31.92933337	19.05626685	12.87306646	25.3920887	25.23453331	218	401003.9706	6.703984905	5.26129108	0.07327291	-0.510533079	0.221421814	-1.274977875	-1118.055562	-112.4777799	-34.76666691	28.80993411	-293.0888804	-134.3666667	-273.2888887	-303.8222176	0.798355611	-8.859261831	63.40885735	1.103999774	-1.506267134	2.610266813	-0.203199514	-0.878977458
Argemone mexicana	inv	1	1	3816.709304	1.848	1	264.8287001	225.876142	8.960290802	22.58579708	25.48130858	19.22372535	1063.17623	210.4364754	16.29508197	84.37472045	541.6188525	59.9057377	341.8995902	93.94672131	12.95436436	63.80232961	257.1653943	32.59304028	11.88006016	20.71298016	24.56579503	20.8385739	220	214355.0505	9.899051467	49.22799022	0.38574559	2.539713004	1.261208448	3.798383447	-397.4279307	-62.92627156	-9.298483351	1.476640102	-176.1358592	-31.3411119	-207.8553724	14.85599952	-2.33633713	5.68644611	-102.546687	0.492674017	5.895109885	-5.40243591	1.195089289	3.600541724
Aristida adscensionis	inv	1	1	70.2	0.606	0.304	255.1188239	19.521018	9.197524523	21.17719749	25.12839371	16.51171696	548.2293907	117.3243728	4.940860215	87.51376005	301.3458781	20.71326165	185.4050179	71.21146953	13.89925799	59.06903091	355.9466818	32.51225854	8.288005071	24.22425347	23.23096689	17.98166328	229	225078.1	6.726825643	45.17893847	0.466470848	4.527853039	2.229687066	7.145858763	138.0837382	46.34734514	1.018735743	4.320583481	96.32079015	3.832192767	-49.53128001	10.55620748	-3.011379166	10.39763545	-203.4416313	1.356428627	9.866035295	-8.509607026	3.114992692	6.878942736
