sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Agave sisalana	nat	1	0	7665.237837	7.4388	3.040096156	264.1212247	44.549292	12.62851521	23.79757504	25.91286478	21.19393444	1060.952381	194.9047619	19.80952381	80.79316239	514.3333333	70.23809524	322.8571429	93	13.24154849	67.59443665	193.7296771	33.56796692	13.9136398	19.65432707	25.14992728	22.67620909	157	47960.46541	8.870658649	4.629360725	0.14426832	0.730401266	0.253405344	1.226303646	-276.666671	-41.28571447	-7.095238163	-8.901450748	-125.3571436	-21.30952354	-163.3095251	55.02380943	-3.573294594	-0.264386858	-37.96999132	-1.458443278	3.788741203	-5.247184299	0.124676159	1.794028918
Albizia lebbeck	inv	1	1	275	119.805	6.562	227.6992072	51.06034	12.12499089	25.27459815	29.28046696	20.6517187	1150.881295	298.9064748	8.169064748	102.5085282	726.1726619	35.55035971	316.0827338	96.78057554	11.38477705	51.59538309	348.2177333	35.93687607	13.2872284	22.64964772	27.01712448	22.41670528	225	173722.5011	6.173307228	7.007567451	0.565962786	0.993318336	-1.447689362	3.774947942	-221.8813011	-75.53980612	0.164268601	-9.919193679	-176.0393245	-0.45036038	-167.9493983	14.75275767	-1.510055048	17.67847822	-208.5627864	-2.006876338	6.196105186	-8.202981285	-0.354902379	3.528294797
Alpinia zerumbet	exo	0	0	14860.63009	17.4992	1.5707965	262.2933293	95.377312	15.61131486	21.26814832	26.2696781	15.52251463	2165.575	393.5333333	51.89166667	69.24335688	1042.833333	180.6666667	917.0416667	227.75	6.455870664	35.03206666	442.3184558	30.10808891	11.38126852	18.72682033	25.07103107	16.89947309	229	305072.3082	12.30108949	26.81963197	0.278069529	5.187407279	1.571525908	9.302948026	-1231.074995	-182.2277786	-44.08611106	20.91203227	-509.8611094	-150.2222219	-774.9305547	-38.27777712	3.613110626	36.60746892	-318.7581499	3.830799802	8.402064779	-4.571264529	1.528505985	9.408860151
Amaranthus blitum	nat	1	0	878.3508053	0.16	0.429	244.5149672	65.087106	30.20238989	11.37748821	19.01206797	4.019587659	869.8596382	110.790393	43.72738615	27.54362619	299.5327511	147.5159077	244.3462258	192.0798503	8.740931784	35.43464802	613.6978655	25.18086158	0.044409182	25.13645238	12.99526283	9.641468763	224	298820.4687	5.470083654	52.39402125	0.140985699	14.11070601	8.233765424	19.28666244	-206.3179702	48.54294096	-36.9357194	63.31562865	82.13391685	-120.8075744	-139.3045593	-83.24651727	1.563929523	32.09819461	-451.5471277	8.573305021	18.40975771	-9.836452193	12.92695954	15.35089278
Amaranthus spinosus	nat	1	0	3332.678074	0.194	1.5	246.0866919	65.087105	8.861958563	24.121413	25.08924098	23.09465814	1998.747748	308.4864865	51.53153153	59.65507743	811.5405405	192.7027027	526.3333333	463.3063063	9.683499156	79.19863929	82.56338551	30.38531803	17.96445908	12.42085895	24.42385172	23.65827024	237	417413.9556	7.950344743	42.96806967	0.424098676	2.117069961	2.714092298	1.329871773	-1160.183646	-107.594179	-44.22383924	34.12296013	-317.1405363	-162.9744976	-406.8256404	-328.2857935	0.486629094	-9.785875082	56.10520803	3.662887033	1.360156384	2.302730727	2.001276662	2.363524795
Ananas comosus	exo	0	0	21606.23593	2.009133333	0.914	260.0572114	22.46263	12.23994529	23.42708949	25.08973405	21.47133015	1755.544538	267.2890756	47.14117647	56.68963465	737.7260504	168.1495798	443.9344538	375.8033613	10.63921338	69.8050424	150.7499633	30.95752676	15.27037182	15.68715494	24.19035725	22.07440768	422	46344.26163	5.924672046	2.938050623	0.516230746	0.253003212	0.039278164	0.516941356	-714.7667736	-51.32611549	-34.06710247	27.4194517	-177.9112413	-121.260692	-207.8974186	-223.0255842	0.245045847	-0.875475276	-20.76261454	0.842473322	0.688887215	0.153585791	-0.032949701	0.470036718
Andropogon gayanus	inv	1	1	675	2.5584	3.5	254.4051947	5.90498	9.703608107	23.4068766	26.53987013	19.37178348	612.1038961	141.4285714	6.090909091	102.8218365	368.3506494	21.2987013	236.5194805	22.46753247	13.67091325	60.06802799	296.5311465	33.60732455	10.74561042	22.86171418	25.71370561	19.92588742	105	444314.3537	5.830956828	14.86001884	0.557292599	3.180739366	1.752259709	5.502290662	320.2016611	84.54364995	-1.257575797	-1.715060308	199.3437934	2.506854124	-81.13059057	104.1158021	-2.554015191	8.284502806	-157.434832	1.595453471	8.126611762	-6.5311585	0.952035677	5.72920514
Annona muricata	exo	0	0	9050	391.336	6.09	270.8685477	28.441229	12.86939135	24.29655197	26.08790449	22.14684892	1511.369427	285.1019108	30.22929936	83.2154916	757.1273885	106.3630573	522.3757962	166.6050955	11.25157315	70.26857364	163.4354121	32.27086755	15.92398618	16.34688139	25.44405146	23.38497231	178	35993.66554	8.81278428	6.938331047	0.559999455	1.038170207	0.784822647	1.348100685	-573.9906453	-85.43524428	-17.86566286	-1.786801128	-254.4758736	-59.04487562	-383.2697344	58.39490533	-1.522280215	-1.350411034	-22.29552193	0.535193069	2.616922547	-2.081729762	-0.119556662	1.887502504
Annona reticulata	exo	0	0	6008.695933	239.2	6.09	270.9808501	35.521535	11.12839063	25.40497754	26.28968913	24.35831121	2082.666667	313.5333333	46.93333333	52.540065	814.8666667	187.2	432.0666667	567.6	9.99608895	78.67593002	79.93558566	31.92933337	19.05626685	12.87306646	25.3920887	25.23453331	218	422782.5009	6.704858389	5.381561651	0.071923983	-0.290857061	0.548273659	-1.100903702	-1106.222209	-107.0888919	-34.82222225	30.62923571	-277.8666718	-134.8666657	-275.4555579	-279.7111088	0.740485382	-10.19774373	68.66071765	1.576221784	-1.256266975	2.832488982	0.019022814	-0.628051758
Argemone mexicana	inv	1	1	3816.709304	1.848	1	264.8287001	225.876142	8.960290802	22.58579708	25.48130858	19.22372535	1063.17623	210.4364754	16.29508197	84.37472045	541.6188525	59.9057377	341.8995902	93.94672131	12.95436436	63.80232961	257.1653943	32.59304028	11.88006016	20.71298016	24.56579503	20.8385739	220	180853.0964	9.899216298	48.98638384	0.390776944	2.738522764	1.553158538	3.936648862	-382.4109249	-55.13375411	-9.332496975	3.446543348	-162.0644301	-31.35471727	-207.6444881	15.47164527	-2.405384741	4.02160475	-96.80106277	0.975327148	6.082524842	-5.107197891	1.422300268	3.79714038
