sp	stat	naturalized	invasive	LA	SM	H	mpds	min	mpds_weighted	bio_1_native	bio_10_native	bio_11_native	bio_12_native	bio_13_native	bio_14_native	bio_15_native	bio_16_native	bio_17_native	bio_18_native	bio_19_native	bio_2_native	bio_3_native	bio_4_native	bio_5_native	bio_6_native	bio_7_native	bio_8_native	bio_9_native	year_p	Area_p	euclid_p	F_pres	nmi_p	bio_1_p	bio_10_p	bio_11_p	bio_12_p	bio_13_p	bio_14_p	bio_15_p	bio_16_p	bio_17_p	bio_18_p	bio_19_p	bio_2_p	bio_3_p	bio_4_p	bio_5_p	bio_6_p	bio_7_p	bio_8_p	bio_9_p
Ipomoea nil	exo	0	0	6151	36.267	1.5	230.2184653	15.463932	7.770093209	22.76512156	25.58395988	19.71688283	1251.035346	222.7098675	25.80265096	75.69600185	584.544919	92.74521355	372.4712813	175.7540501	12.05163966	64.99224312	241.2972186	32.16295918	12.93009564	19.23286354	24.51865602	21.12966469	229	709081.9564	7.90286526	60.8014689	0.508695326	3.094363234	1.995289865	4.058948132	-524.1493066	-64.04605007	-17.37814958	8.326290616	-183.1232656	-59.06430188	-255.2462105	-30.17570248	-1.824407946	3.220788448	-83.68304057	1.657553832	5.837995556	-4.180441855	1.644544406	4.58909124
Ipomoea wrightii	exo	0	0	1148.037937	48.06155082	1	226.9603009	9.303935	28.15879	20.31887498	27.08753063	13.00407044	1252.478261	168.2934783	54.2173913	39.87460785	446.3152174	186.9347826	310.7282609	269.9347826	12.05003505	47.37351998	573.6093912	33.61084146	6.08135193	27.5294894	20.58637131	21.52792182	189	299493.8839	4.670841054	44.93908981	0.328831159	6.037606444	1.102098985	11.17759619	-567.7449306	-14.38236834	-47.53961356	46.76842982	-61.19299246	-158.5570049	-176.1727046	-190.6347827	-1.097257343	19.97978355	-408.8841557	1.225824964	12.47531476	-11.24948938	6.296036193	3.936337522
Jacquemontia pentanthos	exo	0	0	3485.131906	4.9841875	0.741611242	229.9040581	20.005468	8.048972796	24.5167313	26.65255334	21.97048569	1368.142857	240.2285714	27.6031746	71.65063877	635.9238095	100.9206349	405.9777778	204.4761905	11.70093324	68.16729923	193.6277932	33.12289721	15.45887195	17.66402531	25.89865027	23.14711977	292	552387.9363	24.34437331	45.68552857	0.434151383	1.352387773	0.959859084	1.806841619	-648.2239374	-78.95529799	-20.08365512	15.49974831	-229.6355226	-70.63234661	-281.6654657	-91.56027419	-1.234616971	0.042657207	-36.01949561	0.875301037	3.134521424	-2.259220576	0.562610927	2.323150615
Jacquemontia tamnifolia	exo	0	0	2971.987184	4.239	0.648052303	229.5614919	20.005467	8.626171001	19.8277937	26.46511648	12.72504687	1436.737401	185.5888594	64.47480106	33.48891605	502.6352785	225.1870027	372.4801061	348.3129973	12.2162056	48.30017812	559.0673507	32.95835397	5.883147238	27.07520673	19.53343557	20.64243002	239	677248.9585	7.189963472	45.15056225	0.621715709	7.735910087	2.48080955	13.5031014	-479.0040753	36.30003269	-59.25257884	62.32357327	67.00917034	-202.431447	-254.8801053	-108.7796623	-1.714353725	24.76758489	-446.739199	2.106090505	14.6790748	-12.57298441	7.815453337	6.849421655
Kalanchoe pinnata	nat	1	0	8631.205642	0.060076	0.557333516	250.869746	187.1540707	9.715007963	22.74974889	24.48551515	20.37802392	1478.961538	332.6923077	23.15384615	93.15274341	839.8076923	88.15384615	676.5384615	116.6538462	10.89376958	69.44461602	173.7212102	30.11496867	14.38860145	15.72636718	24.33308044	20.91641613	184	522817.6015	7.160224941	12.00922614	0.28273438	4.20243388	3.997024431	4.889436496	-541.6758329	-127.0256398	-14.27289395	-3.787273344	-305.998171	-53.65384629	-555.276557	140.7032983	-0.581864907	1.23917391	-41.35903574	4.482650799	5.482826767	-1.000176749	2.291919834	5.906599626
Lantana camara	inv	1	1	1042.65	8.01	2.785	226.2652981	8.787991	7.523069499	21.72376157	24.72076512	18.40096366	1407.13112	228.1979253	39.3340249	62.1934708	604.1452282	140.8908714	394.1497925	257.3983402	11.41109854	63.47074331	259.4860437	30.9951212	11.97256128	19.02255991	23.3883594	20.0822158	292	265679.2248	13.45663028	149.9463568	0.723595061	4.152621306	2.852295186	5.430142717	-646.4816932	-61.36890205	-30.78373758	23.30184577	-181.215631	-107.2213313	-251.2201951	-125.4629947	-0.97013826	4.907488282	-105.5679112	2.904447853	6.594105403	-3.689657614	2.927948099	5.293718159
Leonotis nepetifolia	inv	1	1	2467.842791	1.337	0.853285104	226.9832087	57.151536	7.605968292	19.32966378	21.06944622	17.0723051	928.8644068	175.4745763	20.6440678	73.66433787	429.0677966	80.3559322	263.3728814	147.9491525	12.94058197	71.70525108	165.3722035	28.55206784	10.0031186	18.54894931	20.30546896	17.58715259	245	230308.0858	6.4308837	75.80305065	0.404544039	6.873947342	6.929146356	7.066583758	-196.1310726	-14.50568742	-12.97295671	12.46529032	-21.6589105	-49.20482115	-133.8751031	-24.74915259	-2.063804249	-3.280666119	-7.160098605	6.019487643	8.651992416	-2.632504884	6.201419846	8.137143798
Lepidium ruderale	nat	1	0	63.91	0.198	0.153	242.9173739	14.022192	11.41871327	9.387577793	17.26178682	1.787112264	750.6794872	86.5534188	43.14957265	22.20886085	238.6723647	144.230057	210.2884615	174.1730769	8.322784433	33.43625605	633.0209407	23.3118641	-1.806317758	25.11818189	12.41825772	5.819457624	215	42285.10515	5.958562137	78.28036306	-0.287779627	14.90587461	8.68583248	20.19463386	-59.86996046	48.20848632	-31.05433454	48.85911488	102.5657248	-98.27767585	-44.57417473	-60.36355348	1.901421946	34.74867176	-467.2722093	8.792898111	18.90631787	-10.1134206	12.69364724	17.82022515
Leucaena leucocephala	inv	1	1	49.07	43.478	3.204	230.4467521	51.406765	7.623887045	22.99584967	26.59096737	18.96216319	1031.718593	193.3551089	23.38525963	76.36709517	502.6231156	85.37855946	338.1005025	127.1892797	12.63375409	60.18619317	313.8684638	33.45603428	11.79546875	21.66056552	24.9680115	21.48857207	229	172848.6932	14.58073073	29.04424991	0.613858362	3.448339789	1.443612937	5.674117958	-181.8682512	-1.239462983	-16.05192636	14.87361963	-13.8067906	-55.85474998	-204.5698907	25.73588959	-2.156599907	9.534489478	-174.3776831	0.894305569	7.430381507	-6.53607581	1.772011194	4.680248642
Leucas martinicensis	nat	1	0	2328.973477	0.42	0.494522019	225.6153921	57.1512476	12.13270623	20.26630091	23.29055073	16.55145753	860.4673913	169.3369565	9.739130435	80.88288954	433.1413043	38	301.7717391	95.60869565	12.76040221	61.7900508	279.2255317	29.66421111	8.537080702	21.12713039	22.26478575	17.03142863	293	92606.93094	9.106565989	20.5876317	0.386706089	5.758004611	4.56980274	7.239198994	-208.0431498	-25.62483647	-3.314887982	7.285186715	-66.15645216	-9.499999848	-195.0899203	5.845849282	-2.261538684	5.364896831	-112.5967801	4.616091981	10.14473731	-5.528645531	3.905163959	8.660490526
