sp	stat	naturalized	invasive	LA	SM	H	MPD	PDmin	MPDw	Bio 1 native	Bio 10 native	Bio 11 native	Bio 12 native	Bio 13 native	Bio 14 native	Bio 15 native	Bio 16 native	Bio 17 native	Bio 18 native	Bio 19 native	Bio 2 native	Bio 3 native	Bio 4 native	Bio 5 native	Bio 6 native	Bio 7 native	Bio 8 native	Bio 9 native	MRT	Area	Euclid	Pseudo-F	NMI	Bio 1 diff	Bio 10 diff	Bio 11 diff	Bio 12 diff	Bio 13 diff	Bio 14 diff	Bio 15 diff	Bio 16 diff	Bio 17 diff	Bio 18 diff	Bio 19 diff	Bio 2 diff	Bio 3 diff	Bio 4 diff	Bio 5 diff	Bio 6 diff	Bio 7 diff	Bio 8 diff	Bio 9 diff
Euphorbia_tirucalli	inv	1	1	814.7025641	14.9	4.646	235.067851	22.63826	10.48870391	21.63955383	24.58131813	18.15768176	871.4794521	179.6986301	12.97945205	78.20343502	454.5924658	50.33219178	305.0719178	79.76369863	11.96753798	61.4581467	263.8151174	30.74268932	10.82621138	19.91647787	23.44984257	18.95574786	124	585283.0761	8.089703064	13.08897116	0.43410251	2.149121709	0.561946717	3.7954363	-174.7994521	-38.13863014	-4.499452055	3.194176828	-89.43246575	-18.01219178	-148.5919178	58.23630137	-1.769730536	11.16203153	-131.0528386	0.151320611	6.040438595	-5.889117828	0.985354271	4.333928802
Ficus_benjamina	exo	0	0	1702.14	25	13.551	243.3884755	15.898709	10.51864518	24.45698138	27.78009367	20.56552864	1593.988142	311.7272727	33.70750988	83.75948561	814	123.5296443	477.7549407	199.284585	9.980807105	56.49257547	291.3158949	33.50697764	14.49836173	19.00861596	26.16352268	22.34459269	82	380440.3139	6.923698835	3.243315244	0.847308999	0.55608968	-1.442855632	2.755995027	-835.5595709	-132.4415584	-28.56465274	12.34122621	-363.7142857	-97.38678713	-298.4692264	-150.8560136	0.526288232	16.77287406	-166.9849361	-1.229834706	3.393638608	-4.623473362	-0.721427335	1.749978832
Ficus_microcarpa	exo	0	0	2209.782222	0.33	10	241.588023	15.89871	13.77562662	23.10068505	26.62634455	18.92362876	1902.532808	340.5800525	48.69291339	68.31717214	899.1102362	172.0787402	667.2493438	255.167979	8.258086011	53.49950977	315.9578436	31.27043868	13.99569996	17.27473874	25.60581907	20.16311894	172	548742.5618	11.98745044	6.132891652	0.386098685	1.732315131	-0.525011477	4.278465997	-1230.247094	-198.2943382	-43.69291339	19.1842502	-529.2530934	-151.2215973	-501.2493438	-196.167979	3.752675795	21.39024003	-196.4753215	1.447275632	2.679728294	-1.232452689	-0.396295189	3.831738035
Gliricidia_sepium	nat	1	0	675	102.534	19.81	231.0478077	115.262924	19.8576647	24.6887422	26.55144376	22.53551728	1587.471655	302.9387755	21.22902494	86.63530534	798.2131519	78.55782313	420.5578231	200.6712018	11.62592362	68.83673299	165.2127922	33.119697	16.02145004	17.09824697	25.57511964	23.88540574	90	285202.645	7.850721336	4.808157535	0.054173563	-1.37374221	-1.746300674	-1.245993746	-796.4716553	-178.6530612	-1.229024943	-28.64990146	-467.7845805	-7.129251701	-225.5578231	2.900226757	-1.71163823	2.248676992	-17.67030847	-2.757982769	0.412264141	-3.170246929	-2.034547884	-0.876548834
Gomphrena_globosa	nat	1	0	1926.858362	5.05	0.405297503	245.2179126	16.748802	12.31060107	21.96606712	22.9385334	21.00400047	1808	324	9.8	81.71878815	824.8	41.6	346.6	344	9.346800232	75.63169708	78.65793457	28.45200043	16.05280018	12.39920025	21.99693336	21.57906723	207	173775.4051	7.036951976	2.899938351	-0.172066761	-0.137525606	0.18996706	-0.96791749	-941.375	-167.5	8.325	-18.6636796	-417.175	25.275	-140.225	-199	0.145699835	-4.211802864	51.12436018	-0.053000259	-0.956300139	0.903299999	0.362150049	-0.237233877
Gossypium_barbadense	nat	1	0	12584.12599	124.367	1.342	239.7713546	38.320167	9.280992209	23.56665346	24.51323976	22.57417965	1722.977273	227.5454545	86.34090909	61.12723637	618.1931818	282.2954545	490	362.6818182	10.03845729	81.26811188	80.7845864	29.796964	17.32466877	12.47229526	24.03616694	23.05660928	196	735669.4528	5.435023233	5.527868906	0.530571314	0.664417878	1.099427185	-0.118988991	-963.4772727	-74.61688312	-77.19805195	17.96930327	-226.5503247	-244.3668831	-305.9285714	-270.3961039	0.532114001	-8.113127269	51.23028874	1.747322052	-0.256097334	2.003419353	0.883499624	0.593438291
Gossypium_hirsutum	nat	1	0	6075.361125	75.439	1.82	239.4480401	38.320167	9.73952451	24.49095033	26.80632632	21.78998415	1217.602339	240.5409357	15.71052632	86.45172415	622.4473684	59.25438596	355.622807	133.0497076	12.55275706	67.20800644	206.7572132	33.80673183	14.76006928	19.04666255	25.92432844	23.46934728	119	412439.7404	11.13487186	10.08398531	0.336302613	0.182190782	-0.896069638	1.269862137	-428.9100315	-60.04093567	-9.710526316	7.221239655	-162.0242915	-33.40823212	-190.8151147	-52.89586145	-1.974244137	7.198247374	-88.50071003	-1.942731658	2.835776863	-4.778508556	-0.803020775	0.629909158
Hedychium_coronarium	nat	1	0	14633.85487	13.69	1.314839324	262.2977631	95.377311	11.45299823	22.36272153	26.74355053	17.39944774	2086.828025	478.611465	24.75159236	88.65489933	1188.477707	95.23566879	699.4267516	351.9363057	8.465005689	44.25407074	382.8547929	31.76156739	11.80681294	19.95475442	25.10028302	18.92413614	180	314888.618	13.48918091	4.724128904	0.608310776	0.617972928	-2.829995062	4.369885459	-945.8280255	-234.4447983	-13.08492569	-1.934859962	-549.3110403	-50.06900212	-476.5934183	-193.7696391	1.849160618	31.97250702	-292.2802913	-2.067568099	4.255853794	-6.323422025	-1.962838207	3.711530389
Hyparrhenia_rufa	nat	1	0	475.84	0.3	2.5	254.1063752	5.923606	10.26753804	23.63767323	25.62518426	21.51820202	1220.528827	240.7693837	11.1471173	85.12474	631.2982107	48.32405567	338.0636183	256.6441352	11.56717603	66.80914943	170.530355	32.28970598	14.67419881	17.61550716	23.85339687	22.36124477	208	301403.6685	8.433656565	7.110753392	0.386939143	1.859504655	0.983971395	2.590997763	-257.728827	-9.769383698	-3.947117296	15.84331166	-43.43154407	-21.39072233	-194.930285	-116.1108019	-2.008953897	8.175505824	-68.35146728	-0.219572645	4.612201227	-4.831773859	1.749003079	3.062088592
Indigofera_hirsuta	exo	0	0	1194.995326	2.19	1.52	231.2866086	128.431319	12.34991012	24.81611	27.91230803	21.10316049	1257.526395	262.8295626	15.46304676	87.9716536	684.5580694	59.82352941	425.5128205	168.6606335	10.86757032	57.97756482	278.7081938	33.88759366	14.52471175	19.36288191	26.66128576	21.9943646	124	693663.5638	8.847927892	17.197006	0.650306211	0.871465858	-1.017453414	3.05997528	-358.2443439	-56.57315234	-7.309200603	3.808120213	-162.199095	-26.72096531	-267.7179487	-26.66063348	-1.135709596	16.52056402	-166.4913221	-1.543519752	4.718769765	-6.262289516	-0.757870812	3.574877343
